id,name,lat,long,located in
G1KR1187,g.yam bya chen dgon/; 央杂青寺,32.325451,95.075613,steng chen rdzong /; Tengchen County; 丁青县
G1877,曲乃亥寺; chu nag dgon/,36.15132,101.0768,khri ka rdzong /; 贵德县
G2504,Karma Gon; kar+ma dgon gsar/,,,se ra smad grwa tshang /; Serame Dratsang
G1KR1371,然玛通寺,30.8,94.86667,Palbar County; dpal 'bar rdzong /; 边坝县
G4066,bon 'dzugs dgon/,,,rong brag rdzong /; Rongdrak county; 丹巴县
G1KR2433,五屯上庄寺; seng+ge gshong ya mgo dgon pa/,35.50998,102.08716,同仁县; Rebkong County; reb gong rdzong /
G1KR980,贡普寺,31.13333,97.16666,昌都县; chab mdo rdzong /; Chamdo county
G1KR2097,上台静房; chu dkar ri khrod/,36.42998,101.49309,湟中县; sku 'bum rdzong /
G3939,nor gling dgon/; 罗朗寺,32.58333,98.38333,ser shul rdzong /; Seshul county; 石渠县
G1KR1707,白日寺,32.26667,92.03333,Amdo county; a mdo rdzong /; 安多县
G1875,dga' ldan thos bsam dar rgyas gling /,,,khri ka rdzong /; 贵德县
G187,gling tshang 'go dgon/; Lingtsang Go Gon,,,sde dge; gling tshang /
G1KR1947,rtse dbus ri khrod/; 泽卫静修院,34.67219,103.1745,卓尼县; co ne rdzong /; rtse dbus/
G1KR2637,江日堂寺; lcags ri dgon pa/,32.9,100.78,班玛县; pad+ma rdzong /; Pema county
G1KR32,me tog dgon/; 美多莫寺,31.64618,102.03793,chu chen rdzong /; 金川县
G1KR1745,孜日寺,31.76667,90.13333,dpal mgon rdzong /; Palgon county; 班戈县
G4461,chos sde gong /; 曲德贡寺,28.93499,91.9071,sne gdong rdzong /; Nedong County; 乃东县
G4615,snyan dgon pa/; 粘寺,29.79023,90.77335,stod lung bde chen rdzong /; Tolung Dechen County; 堆龙德庆县
G4732,bka' rnying bshad sgrub gling /,,,bal yul/; 尼泊尔; nepal
G1KR123,dgon gsar dgon/; 根沙寺,32.23611,102.03203,马尔康县; Barkham County; 'bar khams rdzong /
G874,药草台寺; gro tshang dgon/,36.29263,102.22916,乐都县; gro tshang rdzong /
G1KR1346,byams pa gling /; 曲尺寺,30.75,95.83334,Lhorong county; 洛隆县; lho rong rdzong /
G2561,邦群寺; 'bum chung dgon/,33.1567,96.98931,yul shul rdzong /; 玉树县
G4579,grub rgyal dgon/; 楚杰寺,29.93572,90.99625,lhun grub rdzong /; 林周县; Lhundrub county
G3989,扎扎寺; tra tra dgon/,32.58333,100.53333,gser thar rdzong /; 色达县; Serta county
G1PD95982,逊布寺; bkra shis rtse'i ri khrod/,37.14593,101.5601,大通县; gser khog rdzong /
G491,'dzin stag mo dgon/; takmogang kelzang puntsok ling,,,dpal yul rdzong /; Palyul county; 白玉县
G1KR223,blo dge dgon/; 罗尔格寺,34.05043,103.06957,mdzod dge rdzong /; 若尔盖县
G3302,bai ru dgon/; Bero; 比如贡,29.4883,90.2561,snye mo rdzong /; 尼木县; Nyemo county; thar rung shang (snye mo rdzong)
G1PD110072,pho ldang dgon/,,,sikkim; 'bras ljongs/
G4024,mo tog dgon/; 莫多寺,30.18333,99.21667,'ba' thang rdzong /; Batang county; 巴塘县
G1KR769,dga' ldan dar rgyas gling /; 瓦尔寨大寺,28.53333,100.91666,mu li rdzong /; 木里县; Muli county
G1KG18527,rdza steng chen dgon/,,,
G4428,phun tshogs chos gling /,,,thon pa shang (snye mo rdzong); snye mo rdzong /; 尼木县; Nyemo county
G1KR1212,香堆寺,30.65,97.98333,brag g.yab rdzong /; 察雅县; Drakyap County
G1BR005,Cicanovsky datsan,,,Buryatia
G1KR1347,theg mchog chos 'khor gling /; 板来寺,30.75,95.83334,Lhorong county; 洛隆县; lho rong rdzong /
G1PD96289,rwa stod sngags khang /; 拉多俄康,35.81097,102.21741,循化县; ya rdzi rdzong /
G1KR773,库绒寺,28.85,100.66666,mu li rdzong /; 木里县; Muli county
G4184,thig phyi dgon/; 帝齐寺,28.18543,91.24723,lho brag rdzong /; 洛扎县; Lhodrag county; ban pa/
